,ID_TURMA,TX_HR_INICIAL,NU_DURACAO_TURMA,QT_MATRICULAS,TP_ETAPA_ENSINO,NU_DIAS_ATIVIDADE,CO_ENTIDADE,CD_GEOCODI,AGE_AVG_STUDENTS,AGE_STD_STUDENTS,NUM_TEACHERS_x,AGE_AVG_TEACHERS_x,AGE_STD_TEACHERS_x,NUM_TEACHERS_y,AGE_AVG_TEACHERS_y,AGE_STD_TEACHERS_y
479,9059544,13.0,255.0,24,15.0,5.0,31244279,313820000000000.0,6.958333333333333,0.3586407511783862,3,49.333333333333336,9.018499505645789,3,49.333333333333336,9.018499505645789
480,9060097,13.0,255.0,21,14.0,5.0,31244279,313820000000000.0,6.0,0.0,3,44.333333333333336,9.29157324317757,3,44.333333333333336,9.29157324317757
481,9060215,13.0,255.0,25,15.0,5.0,31244279,313820000000000.0,6.92,0.2768874620972693,3,42.666666666666664,2.5166114784235822,3,42.666666666666664,2.5166114784235822
482,9060621,13.0,255.0,26,17.0,5.0,31244279,313820000000000.0,9.192307692307692,0.49146562599887056,3,43.0,7.0,3,43.0,7.0
483,9062437,13.0,255.0,27,17.0,5.0,31244279,313820000000000.0,9.11111111111111,0.6979824404521128,3,38.0,11.135528725660043,3,38.0,11.135528725660043
484,9062934,7.0,255.0,25,18.0,5.0,31244279,313820000000000.0,10.28,0.8426149773176359,2,37.5,2.1213203435596424,2,37.5,2.1213203435596424
485,9064047,7.0,265.0,37,20.0,5.0,31244279,313820000000000.0,12.594594594594595,1.0126823418651705,9,45.44444444444444,9.76103364289755,9,45.44444444444444,9.76103364289755
486,9064085,13.0,255.0,24,17.0,5.0,31244279,313820000000000.0,8.875,0.5366968215490656,2,42.5,3.5355339059327378,2,42.5,3.5355339059327378
487,9064446,7.0,255.0,26,18.0,5.0,31244279,313820000000000.0,10.5,1.0295630140987004,2,39.5,4.949747468305833,2,39.5,4.949747468305833
488,9064531,7.0,265.0,29,19.0,5.0,31244279,313820000000000.0,11.724137931034482,0.9218208581830207,8,43.25,8.74642784226795,8,43.25,8.74642784226795
489,9065523,7.0,255.0,26,18.0,5.0,31244279,313820000000000.0,10.384615384615385,0.7524319545007683,3,40.333333333333336,4.041451884327381,3,40.333333333333336,4.041451884327381
490,9066352,7.0,265.0,30,19.0,5.0,31244279,313820000000000.0,11.466666666666667,0.6814453874610598,6,40.5,8.264381404557755,6,40.5,8.264381404557755
491,9067806,7.0,265.0,21,41.0,5.0,31244279,313820000000000.0,14.19047619047619,0.6015852075182384,8,45.75,6.71352579286239,8,45.75,6.71352579286239
492,9068548,7.0,265.0,21,41.0,5.0,31244279,313820000000000.0,14.285714285714286,1.0071175275436897,9,46.55555555555556,6.728876412728783,9,46.55555555555556,6.728876412728783
493,9055670,7.0,255.0,16,2.0,5.0,31244279,313820000000000.0,5.0,0.0,2,44.5,12.020815280171307,2,44.5,12.020815280171307
494,9055631,13.0,255.0,22,2.0,5.0,31244279,313820000000000.0,3.9545454545454546,0.21320071635561041,2,43.0,4.242640687119285,2,43.0,4.242640687119285
495,9054789,7.0,255.0,18,2.0,5.0,31244279,313820000000000.0,3.9444444444444446,0.23570226039551584,3,40.666666666666664,6.429100507328638,3,40.666666666666664,6.429100507328638
496,9055643,7.0,255.0,16,2.0,5.0,31244279,313820000000000.0,4.8125,0.40311288741492746,3,40.0,12.489995996796797,3,40.0,12.489995996796797
497,9055697,13.0,255.0,18,2.0,5.0,31244279,313820000000000.0,4.833333333333333,0.3834824944236852,2,39.5,0.7071067811865476,2,39.5,0.7071067811865476
498,11993200,13.0,255.0,20,2.0,5.0,31244279,313820000000000.0,4.95,0.223606797749979,2,46.5,9.192388155425117,2,46.5,9.192388155425117
499,9056365,7.0,255.0,18,2.0,5.0,31244279,313820000000000.0,3.888888888888889,0.3233808333817774,2,41.0,7.0710678118654755,2,41.0,7.0710678118654755
500,11957290,13.0,240.0,7,1.0,5.0,31210609,313820000000000.0,2.7142857142857144,0.48795003647426655,2,34.5,0.7071067811865476,2,34.5,0.7071067811865476
501,11957600,13.0,240.0,8,14.0,5.0,31210609,313820000000000.0,5.875,0.35355339059327373,2,47.5,4.949747468305833,2,47.5,4.949747468305833
502,11956975,13.0,255.0,5,17.0,5.0,31210609,313820000000000.0,9.4,0.5477225575051662,4,39.25,10.812801055539063,4,39.25,10.812801055539063
503,11957069,7.0,270.0,7,19.0,5.0,31210609,313820000000000.0,11.714285714285714,0.7559289460184546,7,39.714285714285715,13.671311638052947,7,39.714285714285715,13.671311638052947
504,11957647,13.0,255.0,7,15.0,5.0,31210609,313820000000000.0,6.857142857142857,0.37796447300922725,5,45.2,7.463243262818115,5,45.2,7.463243262818115
505,11957713,13.0,255.0,2,16.0,5.0,31210609,313820000000000.0,9.0,2.8284271247461903,4,34.75,6.701989754294367,4,34.75,6.701989754294367
506,11957817,13.0,255.0,8,18.0,5.0,31210609,313820000000000.0,10.125,0.6408699444616557,4,38.75,10.04572877727976,4,38.75,10.04572877727976
507,11957965,7.0,270.0,6,20.0,5.0,31210609,313820000000000.0,12.166666666666666,0.7527726527090811,7,39.714285714285715,13.671311638052947,7,39.714285714285715,13.671311638052947
508,11958036,7.0,270.0,5,21.0,5.0,31210609,313820000000000.0,12.8,0.44721359549995804,7,39.42857142857143,13.926678748085669,7,39.42857142857143,13.926678748085669
509,11959156,7.0,270.0,5,41.0,5.0,31210609,313820000000000.0,14.6,0.8944271909999157,8,43.125,13.141401316885068,8,43.125,13.141401316885068
510,11959212,7.0,270.0,7,25.0,5.0,31210609,313820000000000.0,15.142857142857142,0.6900655593423546,11,40.90909090909091,11.742695989035445,11,40.90909090909091,11.742695989035445
511,11959280,7.0,270.0,4,26.0,5.0,31210609,313820000000000.0,17.25,0.49999999999999967,10,41.2,12.336035739968404,10,41.2,12.336035739968404
